id,nom_dept,nom_com,id_com,nom_station,code_station_ue,typologie,nom_poll,id_poll_ue,valeur,unite,metrique,date_debut,date_fin,statut_valid,x,y
83,PARIS,PARIS-6E-ARRONDISSEMENT,75106,Rue Bonaparte,4071,Trafic,NO2,8,62,ug.m-3,journaliere,2017/12/11 23:00:00+00,2017/12/12 23:00:00+00,1,651166,6862011
84,PARIS,PARIS-6E-ARRONDISSEMENT,75106,Rue Bonaparte,4071,Trafic,NO2,8,46,ug.m-3,journaliere,2017/12/12 23:00:00+00,2017/12/13 23:00:00+00,1,651166,6862011
85,PARIS,PARIS-6E-ARRONDISSEMENT,75106,Rue Bonaparte,4071,Trafic,NO2,8,49,ug.m-3,journaliere,2017/12/13 23:00:00+00,2017/12/14 23:00:00+00,1,651166,6862011
86,PARIS,PARIS-6E-ARRONDISSEMENT,75106,Rue Bonaparte,4071,Trafic,NO2,8,48,ug.m-3,journaliere,2017/12/14 23:00:00+00,2017/12/15 23:00:00+00,1,651166,6862011
87,PARIS,PARIS-6E-ARRONDISSEMENT,75106,Rue Bonaparte,4071,Trafic,NO2,8,40,ug.m-3,journaliere,2017/12/15 23:00:00+00,2017/12/16 23:00:00+00,1,651166,6862011
88,PARIS,PARIS-6E-ARRONDISSEMENT,75106,Rue Bonaparte,4071,Trafic,NO2,8,43,ug.m-3,journaliere,2017/12/16 23:00:00+00,2017/12/17 23:00:00+00,1,651166,6862011
89,PARIS,PARIS-6E-ARRONDISSEMENT,75106,Rue Bonaparte,4071,Trafic,NO2,8,45,ug.m-3,journaliere,2017/12/17 23:00:00+00,2017/12/18 23:00:00+00,1,651166,6862011
90,PARIS,PARIS-6E-ARRONDISSEMENT,75106,Rue Bonaparte,4071,Trafic,NO2,8,65,ug.m-3,journaliere,2017/12/18 23:00:00+00,2017/12/19 23:00:00+00,1,651166,6862011
91,PARIS,PARIS-6E-ARRONDISSEMENT,75106,Rue Bonaparte,4071,Trafic,NO2,8,54,ug.m-3,journaliere,2017/12/19 23:00:00+00,2017/12/20 23:00:00+00,1,651166,6862011
92,PARIS,PARIS-6E-ARRONDISSEMENT,75106,Rue Bonaparte,4071,Trafic,NO2,8,50,ug.m-3,journaliere,2017/12/20 23:00:00+00,2017/12/21 23:00:00+00,1,651166,6862011
93,PARIS,PARIS-6E-ARRONDISSEMENT,75106,Rue Bonaparte,4071,Trafic,NO2,8,55,ug.m-3,journaliere,2017/12/21 23:00:00+00,2017/12/22 23:00:00+00,1,651166,6862011
94,PARIS,PARIS-6E-ARRONDISSEMENT,75106,Rue Bonaparte,4071,Trafic,NO2,8,46,ug.m-3,journaliere,2017/12/22 23:00:00+00,2017/12/23 23:00:00+00,1,651166,6862011
95,PARIS,PARIS-6E-ARRONDISSEMENT,75106,Rue Bonaparte,4071,Trafic,NO2,8,33,ug.m-3,journaliere,2017/12/23 23:00:00+00,2017/12/24 23:00:00+00,1,651166,6862011
96,PARIS,PARIS-6E-ARRONDISSEMENT,75106,Rue Bonaparte,4071,Trafic,NO2,8,23,ug.m-3,journaliere,2017/12/24 23:00:00+00,2017/12/25 23:00:00+00,1,651166,6862011
97,PARIS,PARIS-6E-ARRONDISSEMENT,75106,Rue Bonaparte,4071,Trafic,NO2,8,32,ug.m-3,journaliere,2017/12/25 23:00:00+00,2017/12/26 23:00:00+00,1,651166,6862011
98,PARIS,PARIS-6E-ARRONDISSEMENT,75106,Rue Bonaparte,4071,Trafic,NO2,8,32,ug.m-3,journaliere,2017/12/26 23:00:00+00,2017/12/27 23:00:00+00,1,651166,6862011
99,PARIS,PARIS-6E-ARRONDISSEMENT,75106,Rue Bonaparte,4071,Trafic,NO2,8,46,ug.m-3,journaliere,2017/12/27 23:00:00+00,2017/12/28 23:00:00+00,1,651166,6862011
100,PARIS,PARIS-6E-ARRONDISSEMENT,75106,Rue Bonaparte,4071,Trafic,NO2,8,44,ug.m-3,journaliere,2017/12/28 23:00:00+00,2017/12/29 23:00:00+00,1,651166,6862011
101,PARIS,PARIS-6E-ARRONDISSEMENT,75106,Rue Bonaparte,4071,Trafic,NO2,8,31,ug.m-3,journaliere,2017/12/29 23:00:00+00,2017/12/30 23:00:00+00,1,651166,6862011
102,PARIS,PARIS-6E-ARRONDISSEMENT,75106,Rue Bonaparte,4071,Trafic,NO2,8,21,ug.m-3,journaliere,2017/12/30 23:00:00+00,2017/12/31 23:00:00+00,1,651166,6862011
103,PARIS,PARIS-6E-ARRONDISSEMENT,75106,Rue Bonaparte,4071,Trafic,NO2,8,21,ug.m-3,journaliere,2017/12/31 23:00:00+00,2018/01/01 23:00:00+00,1,651166,6862011
104,PARIS,PARIS-6E-ARRONDISSEMENT,75106,Rue Bonaparte,4071,Trafic,NO2,8,39,ug.m-3,journaliere,2018/01/01 23:00:00+00,2018/01/02 23:00:00+00,1,651166,6862011
105,PARIS,PARIS-6E-ARRONDISSEMENT,75106,Rue Bonaparte,4071,Trafic,NO2,8,25,ug.m-3,journaliere,2018/01/02 23:00:00+00,2018/01/03 23:00:00+00,1,651166,6862011
106,PARIS,PARIS-6E-ARRONDISSEMENT,75106,Rue Bonaparte,4071,Trafic,NO2,8,35,ug.m-3,journaliere,2018/01/03 23:00:00+00,2018/01/04 23:00:00+00,1,651166,6862011
