Station;115 Hardenbergplatz;115 Hardenbergplatz;115 Hardenbergplatz;115 Hardenbergplatz
Messkomponente;Stickstoffmonoxid;Stickstoffdioxid;Stickoxide;Ozon
Einheit;µg/m³;µg/m³;µg/m³;µg/m³
Messzeit (Angaben in MESZ bzw. MEZ);Tageswerte;Tageswerte;Tageswerte;Tageswerte

19.04.2020;2;8;11;
20.04.2020;4;13;20;
21.04.2020;5;13;21;
22.04.2020;6;16;25;
23.04.2020;10;29;43;
24.04.2020;7;32;43;
25.04.2020;2;9;12;
26.04.2020;4;18;25;
27.04.2020;13;36;57;
28.04.2020;8;27;39;
29.04.2020;7;23;35;
30.04.2020;14;27;48;
01.05.2020;6;12;21;
02.05.2020;4;14;19;
03.05.2020;3;10;15;
04.05.2020;15;31;53;
05.05.2020;5;15;23;
06.05.2020;4;16;22;
07.05.2020;6;25;35;
08.05.2020;6;23;33;
09.05.2020;20;38;69;
10.05.2020;9;26;41;
11.05.2020;5;15;22;
12.05.2020;7;18;30;
13.05.2020;14;26;46;
14.05.2020;7;18;29;
15.05.2020;8;23;35;
16.05.2020;5;14;21;
17.05.2020;3;11;16;
18.05.2020;7;22;32;
19.05.2020;6;19;28;
20.05.2020;9;24;38;
21.05.2020;12;21;39;
22.05.2020;19;40;70;
23.05.2020;6;17;27;
24.05.2020;4;11;17;
25.05.2020;4;15;21;
26.05.2020;10;21;36;
27.05.2020;14;29;50;
28.05.2020;9;18;31;
29.05.2020;11;21;37;
30.05.2020;7;15;24;
31.05.2020;5;11;18;
01.06.2020;8;15;28;
02.06.2020;7;20;31;
03.06.2020;9;23;37;
04.06.2020;15;36;59;
05.06.2020;11;20;37;
06.06.2020;9;18;33;
07.06.2020;11;21;38;
08.06.2020;7;20;29;
09.06.2020;12;25;43;
10.06.2020;11;20;37;
11.06.2020;14;26;47;
12.06.2020;11;23;40;
13.06.2020;12;26;44;
14.06.2020;6;14;24;
15.06.2020;12;22;41;
16.06.2020;13;30;50;
17.06.2020;13;31;50;
18.06.2020;11;25;41;
19.06.2020;5;16;24;
20.06.2020;3;9;14;
21.06.2020;3;8;12;
22.06.2020;7;21;31;
23.06.2020;6;18;28;
24.06.2020;8;23;36;
25.06.2020;14;24;46;
26.06.2020;12;26;44;
27.06.2020;8;26;38;
28.06.2020;7;16;26;
29.06.2020;9;21;36;
30.06.2020;5;17;24;
01.07.2020;13;21;41;
02.07.2020;9;20;33;
03.07.2020;6;17;26;
04.07.2020;8;19;32;
05.07.2020;7;11;21;
06.07.2020;5;12;20;
07.07.2020;6;14;24;
08.07.2020;7;19;30;
09.07.2020;18;27;55;
10.07.2020;16;19;43;
11.07.2020;5;12;20;
12.07.2020;4;13;19;
13.07.2020;11;24;40;
14.07.2020;16;36;60;
15.07.2020;5;18;25;
16.07.2020;7;15;26;
17.07.2020;9;24;38;
18.07.2020;13;32;52;
19.07.2020;10;28;44;
20.07.2020;7;21;32;
21.07.2020;6;14;24;
22.07.2020;8;16;28;
23.07.2020;14;27;49;
24.07.2020;11;25;42;
25.07.2020;11;26;42;
26.07.2020;10;23;39;
27.07.2020;17;34;60;
28.07.2020;7;20;31;
29.07.2020;5;13;21;
30.07.2020;6;17;25;
31.07.2020;7;18;28;
01.08.2020;13;24;43;
02.08.2020;7;20;30;
03.08.2020;6;14;23;
04.08.2020;8;22;34;
05.08.2020;20;39;69;
06.08.2020;10;31;46;
07.08.2020;12;42;60;
08.08.2020;12;45;62;
09.08.2020;9;32;45;
10.08.2020;11;34;51;
11.08.2020;10;23;39;
12.08.2020;13;28;47;
13.08.2020;9;37;51;
14.08.2020;14;39;61;
15.08.2020;10;37;52;
16.08.2020;11;25;41;
17.08.2020;10;29;44;
18.08.2020;5;22;29;
19.08.2020;8;26;38;
20.08.2020;18;50;78;
21.08.2020;15;48;70;
22.08.2020;9;26;39;
23.08.2020;3;11;16;
24.08.2020;8;17;29;
25.08.2020;10;24;39;
26.08.2020;7;18;29;
27.08.2020;6;18;27;
28.08.2020;17;40;65;
29.08.2020;13;29;49;
30.08.2020;17;32;58;
31.08.2020;7;20;31;
01.09.2020;10;21;36;
02.09.2020;8;22;34;
03.09.2020;10;24;38;
04.09.2020;11;23;40;
05.09.2020;6;20;28;
06.09.2020;4;12;18;
07.09.2020;8;22;35;
08.09.2020;8;20;33;
09.09.2020;13;22;41;
10.09.2020;8;22;34;
11.09.2020;23;46;81;
12.09.2020;11;30;47;
13.09.2020;;;;
14.09.2020;;;;
15.09.2020;13;49;69;
16.09.2020;11;37;53;
17.09.2020;16;22;46;
18.09.2020;40;47;107;
19.09.2020;26;37;76;
20.09.2020;16;31;55;
21.09.2020;18;43;70;
22.09.2020;19;57;87;
23.09.2020;15;55;78;
24.09.2020;16;39;63;
25.09.2020;13;33;53;
26.09.2020;6;18;27;
27.09.2020;12;23;42;
28.09.2020;19;33;62;
29.09.2020;14;37;58;
30.09.2020;27;42;84;
