Station;220 Karl-Marx-Straße;220 Karl-Marx-Straße;220 Karl-Marx-Straße;220 Karl-Marx-Straße
Messkomponente;Feinstaub (PM10);Stickstoffmonoxid;Stickstoffdioxid;Stickoxide
Einheit;µg/m³;µg/m³;µg/m³;µg/m³
Messzeit (Angaben in MESZ bzw. MEZ);Tageswerte;Tageswerte;Tageswerte;Tageswerte

23.04.2020;29;10;38;53
24.04.2020;38;28;50;94
25.04.2020;13;7;20;30
26.04.2020;16;12;35;53
27.04.2020;31;31;63;111
28.04.2020;37;21;50;82
29.04.2020;18;17;35;62
30.04.2020;19;35;41;94
01.05.2020;7;11;20;37
02.05.2020;13;26;34;73
03.05.2020;14;13;26;47
04.05.2020;20;30;48;94
05.05.2020;9;17;33;59
06.05.2020;12;16;29;54
07.05.2020;22;24;45;82
08.05.2020;22;8;33;44
09.05.2020;18;6;28;37
10.05.2020;22;8;28;40
11.05.2020;10;6;21;30
12.05.2020;13;40;42;103
13.05.2020;16;24;39;76
14.05.2020;11;8;23;35
15.05.2020;14;13;35;55
16.05.2020;12;19;33;62
17.05.2020;10;11;24;41
18.05.2020;19;34;52;103
19.05.2020;21;20;36;67
20.05.2020;15;7;22;33
21.05.2020;12;3;17;22
22.05.2020;20;18;40;68
23.05.2020;21;19;32;62
24.05.2020;14;15;24;47
25.05.2020;14;18;28;56
26.05.2020;14;8;23;36
27.05.2020;18;19;40;69
28.05.2020;12;5;15;23
29.05.2020;12;5;18;26
30.05.2020;10;4;12;18
31.05.2020;12;1;9;11
01.06.2020;13;2;10;13
02.06.2020;15;9;23;37
03.06.2020;18;7;24;34
04.06.2020;26;20;41;71
05.06.2020;15;30;35;81
06.06.2020;10;19;26;55
07.06.2020;11;14;27;47
08.06.2020;14;21;35;67
09.06.2020;17;6;22;31
10.06.2020;19;4;17;23
11.06.2020;31;10;27;43
12.06.2020;21;6;20;29
13.06.2020;28;4;21;28
14.06.2020;22;3;12;16
15.06.2020;20;5;17;25
16.06.2020;23;19;42;70
17.06.2020;22;8;30;41
18.06.2020;25;5;21;28
19.06.2020;22;17;31;57
20.06.2020;15;10;21;37
21.06.2020;13;6;17;26
22.06.2020;22;18;33;60
23.06.2020;15;10;20;34
24.06.2020;20;4;21;27
25.06.2020;25;8;27;40
26.06.2020;28;11;33;51
27.06.2020;25;17;45;71
28.06.2020;17;11;23;40
29.06.2020;17;39;46;105
30.06.2020;22;51;49;127
01.07.2020;15;46;41;111
02.07.2020;19;49;48;123
03.07.2020;17;37;45;101
04.07.2020;18;22;33;68
05.07.2020;11;12;16;35
06.07.2020;18;35;34;87
07.07.2020;17;37;36;92
08.07.2020;17;38;42;100
09.07.2020;18;45;38;106
10.07.2020;15;34;33;85
11.07.2020;10;16;25;49
12.07.2020;9;5;12;20
13.07.2020;15;22;36;69
14.07.2020;20;28;50;93
15.07.2020;20;17;33;58
16.07.2020;15;17;25;50
17.07.2020;20;30;40;85
18.07.2020;27;22;40;73
19.07.2020;27;14;34;56
20.07.2020;22;15;30;54
21.07.2020;17;15;24;48
22.07.2020;19;16;26;50
23.07.2020;15;25;39;77
24.07.2020;19;24;42;78
25.07.2020;17;16;34;58
26.07.2020;18;13;26;45
27.07.2020;18;38;51;109
28.07.2020;17;27;37;79
29.07.2020;16;27;36;77
30.07.2020;19;24;33;70
31.07.2020;21;14;30;51
01.08.2020;19;6;21;30
02.08.2020;17;11;28;45
