Station;018 Schöneberg;018 Schöneberg;018 Schöneberg
Messkomponente;Stickstoffmonoxid;Stickstoffdioxid;Stickoxide
Einheit;µg/m³;µg/m³;µg/m³
Messzeit (Angaben in MESZ bzw. MEZ);Tageswerte;Tageswerte;Tageswerte

28.03.2020;1;15;16
29.03.2020;1;10;11
30.03.2020;3;18;22
31.03.2020;3;15;20
01.04.2020;3;17;21
02.04.2020;1;12;13
03.04.2020;0;12;12
04.04.2020;1;21;22
05.04.2020;1;17;17
06.04.2020;3;33;37
07.04.2020;1;21;22
08.04.2020;5;33;40
09.04.2020;4;23;28
10.04.2020;1;12;13
11.04.2020;1;22;23
12.04.2020;2;18;20
13.04.2020;1;6;8
14.04.2020;1;11;12
15.04.2020;1;8;10
16.04.2020;1;13;14
17.04.2020;1;16;17
18.04.2020;1;11;13
19.04.2020;1;7;8
20.04.2020;1;12;14
21.04.2020;2;12;15
22.04.2020;2;15;18
23.04.2020;2;26;29
24.04.2020;6;28;37
25.04.2020;1;6;7
26.04.2020;2;21;24
27.04.2020;8;38;50
28.04.2020;4;21;27
29.04.2020;1;17;19
30.04.2020;2;18;21
01.05.2020;0;6;7
02.05.2020;1;9;10
03.05.2020;0;10;10
04.05.2020;7;27;38
05.05.2020;2;12;15
06.05.2020;1;11;13
07.05.2020;1;17;18
08.05.2020;1;20;21
09.05.2020;2;23;25
10.05.2020;0;13;13
11.05.2020;0;12;13
12.05.2020;2;13;16
13.05.2020;2;17;19
14.05.2020;2;12;14
15.05.2020;2;18;20
16.05.2020;1;7;9
17.05.2020;1;7;8
18.05.2020;1;15;17
19.05.2020;1;14;15
20.05.2020;1;15;16
21.05.2020;0;10;11
22.05.2020;1;15;17
23.05.2020;1;9;11
24.05.2020;0;8;9
25.05.2020;1;10;12
26.05.2020;1;11;13
27.05.2020;6;22;31
28.05.2020;1;7;8
29.05.2020;1;13;14
30.05.2020;1;8;8
31.05.2020;0;5;5
01.06.2020;1;7;9
02.06.2020;1;13;15
03.06.2020;2;14;17
04.06.2020;2;16;19
05.06.2020;1;9;10
06.06.2020;0;9;9
07.06.2020;1;11;12
08.06.2020;1;11;13
09.06.2020;1;14;16
10.06.2020;1;10;11
11.06.2020;3;19;23
12.06.2020;2;13;16
13.06.2020;1;13;14
14.06.2020;1;7;8
15.06.2020;2;10;13
16.06.2020;1;18;19
17.06.2020;2;24;26
18.06.2020;1;15;17
19.06.2020;1;9;10
20.06.2020;1;6;7
21.06.2020;1;6;7
22.06.2020;1;13;14
23.06.2020;1;9;9
24.06.2020;1;12;13
25.06.2020;1;13;15
26.06.2020;1;17;18
27.06.2020;0;11;11
28.06.2020;1;7;8
29.06.2020;1;10;12
30.06.2020;1;9;10
01.07.2020;1;10;12
02.07.2020;1;9;10
03.07.2020;1;8;10
04.07.2020;1;8;9
05.07.2020;0;6;6
06.07.2020;1;6;7
07.07.2020;1;6;6
08.07.2020;1;9;11
09.07.2020;2;14;17
10.07.2020;3;11;16
11.07.2020;1;7;8
12.07.2020;0;6;7
13.07.2020;3;16;19
14.07.2020;1;18;20
15.07.2020;1;13;15
16.07.2020;1;10;11
17.07.2020;3;17;21
18.07.2020;3;21;26
19.07.2020;2;20;23
20.07.2020;1;12;14
21.07.2020;1;7;9
22.07.2020;1;8;9
23.07.2020;1;15;17
24.07.2020;1;14;16
25.07.2020;1;12;13
26.07.2020;1;12;13
27.07.2020;4;18;24
28.07.2020;1;10;11
29.07.2020;0;7;7
30.07.2020;0;9;10
31.07.2020;1;12;13
01.08.2020;1;13;13
02.08.2020;1;10;11
03.08.2020;0;8;9
04.08.2020;1;14;15
05.08.2020;3;20;25
06.08.2020;1;17;18
07.08.2020;1;28;30
08.08.2020;1;25;27
09.08.2020;0;17;17
10.08.2020;1;17;18
11.08.2020;1;13;14
12.08.2020;1;13;14
13.08.2020;1;22;24
14.08.2020;1;21;22
15.08.2020;1;18;19
16.08.2020;0;11;12
17.08.2020;1;16;17
18.08.2020;1;15;17
19.08.2020;2;15;17
20.08.2020;2;29;31
21.08.2020;2;22;25
22.08.2020;1;14;15
23.08.2020;0;8;8
24.08.2020;1;8;9
25.08.2020;1;13;14
26.08.2020;1;10;12
27.08.2020;1;14;16
28.08.2020;2;26;29
29.08.2020;1;18;19
30.08.2020;4;24;29
31.08.2020;1;15;16
01.09.2020;2;14;17
02.09.2020;2;15;18
03.09.2020;2;13;16
04.09.2020;2;13;16
05.09.2020;1;11;12
06.09.2020;0;8;8
07.09.2020;4;19;25
08.09.2020;1;19;20
09.09.2020;2;15;18
10.09.2020;4;18;24
11.09.2020;8;35;48
12.09.2020;2;20;24
13.09.2020;5;23;30
14.09.2020;9;43;57
15.09.2020;2;34;37
16.09.2020;2;25;29
17.09.2020;1;9;10
18.09.2020;4;26;32
19.09.2020;1;21;23
20.09.2020;1;16;17
21.09.2020;3;29;34
22.09.2020;4;42;47
23.09.2020;5;43;50
24.09.2020;1;30;32
25.09.2020;3;28;31
26.09.2020;1;16;18
27.09.2020;1;15;17
28.09.2020;5;22;29
29.09.2020;7;32;44
30.09.2020;18;41;68
01.10.2020;11;29;45
02.10.2020;2;18;21
03.10.2020;1;15;17
04.10.2020;1;16;18
05.10.2020;4;29;35
06.10.2020;3;17;22
07.10.2020;2;18;20
08.10.2020;2;17;20
09.10.2020;1;15;17
10.10.2020;1;17;19
11.10.2020;2;17;19
12.10.2020;7;24;35
13.10.2020;36;27;82
14.10.2020;1;11;12
15.10.2020;1;12;14
16.10.2020;1;17;19
17.10.2020;2;17;19
18.10.2020;1;11;12
19.10.2020;6;25;34
20.10.2020;7;25;36
21.10.2020;9;28;42
