Station;171 Mitte;171 Mitte;171 Mitte;171 Mitte
Messkomponente;Feinstaub (PM10);Stickstoffmonoxid;Stickstoffdioxid;Stickoxide
Einheit;µg/m³;µg/m³;µg/m³;µg/m³
Messzeit (Angaben in MESZ bzw. MEZ);Tageswerte;Tageswerte;Tageswerte;Tageswerte

19.05.2020;16;1;14;15
20.05.2020;11;2;11;14
21.05.2020;11;1;7;7
22.05.2020;19;1;11;12
23.05.2020;18;1;10;12
24.05.2020;12;1;7;8
25.05.2020;10;1;12;14
26.05.2020;12;1;10;12
27.05.2020;13;3;19;23
28.05.2020;10;5;8;15
29.05.2020;9;1;8;9
30.05.2020;8;0;6;6
31.05.2020;11;0;4;4
01.06.2020;11;0;5;5
02.06.2020;11;2;12;15
03.06.2020;14;1;9;11
04.06.2020;19;1;14;16
05.06.2020;11;2;10;14
06.06.2020;8;1;9;11
07.06.2020;9;2;13;15
08.06.2020;10;2;13;16
09.06.2020;11;1;10;12
10.06.2020;12;1;7;8
11.06.2020;23;1;14;16
12.06.2020;15;1;9;11
13.06.2020;24;1;9;10
14.06.2020;17;0;5;5
15.06.2020;14;0;8;8
16.06.2020;15;1;15;17
17.06.2020;17;1;15;16
18.06.2020;17;0;9;10
19.06.2020;16;1;11;12
20.06.2020;12;1;8;9
21.06.2020;10;0;8;8
22.06.2020;11;3;15;19
23.06.2020;10;2;10;12
24.06.2020;14;1;10;11
25.06.2020;19;1;9;10
26.06.2020;20;1;13;13
27.06.2020;19;1;15;17
28.06.2020;14;1;10;12
29.06.2020;10;1;13;15
30.06.2020;15;2;11;14
01.07.2020;9;2;13;15
02.07.2020;12;2;12;15
03.07.2020;12;2;11;14
04.07.2020;13;2;12;15
05.07.2020;9;1;8;10
06.07.2020;12;2;8;10
07.07.2020;11;1;8;10
08.07.2020;11;1;11;13
09.07.2020;12;2;15;19
10.07.2020;10;4;15;21
11.07.2020;7;2;8;10
12.07.2020;7;1;7;9
13.07.2020;10;2;14;17
14.07.2020;17;3;19;23
15.07.2020;15;4;16;22
16.07.2020;12;4;13;19
17.07.2020;16;2;20;23
18.07.2020;23;3;22;26
19.07.2020;25;1;16;17
20.07.2020;18;1;13;15
21.07.2020;12;2;9;12
22.07.2020;11;1;10;12
23.07.2020;13;6;20;29
24.07.2020;19;1;17;19
25.07.2020;16;1;14;15
26.07.2020;17;1;14;16
27.07.2020;13;3;21;26
28.07.2020;42;2;13;16
29.07.2020;18;2;10;13
30.07.2020;17;3;11;17
31.07.2020;49;3;13;18
01.08.2020;20;1;11;13
02.08.2020;17;1;13;15
03.08.2020;22;4;11;16
04.08.2020;15;2;12;15
05.08.2020;20;3;18;23
06.08.2020;20;1;15;17
07.08.2020;32;2;27;30
08.08.2020;40;1;24;26
09.08.2020;36;1;14;14
10.08.2020;27;1;15;16
11.08.2020;26;1;8;9
12.08.2020;27;1;11;12
13.08.2020;37;1;24;25
14.08.2020;27;1;17;18
15.08.2020;27;1;13;15
16.08.2020;22;1;8;9
17.08.2020;29;1;14;15
18.08.2020;16;1;15;16
19.08.2020;15;1;15;17
20.08.2020;20;2;28;32
21.08.2020;21;2;25;29
22.08.2020;19;2;20;23
23.08.2020;13;1;11;12
24.08.2020;13;2;12;15
25.08.2020;16;2;15;18
26.08.2020;11;3;14;18
27.08.2020;12;3;15;20
28.08.2020;16;3;31;35
29.08.2020;15;4;26;32
30.08.2020;18;2;22;25
31.08.2020;12;2;13;16
